2024-12-06 11:06:34,197 INFO    MainThread:43852 [wandb_setup.py:_flush():79] Current SDK version is 0.18.7
2024-12-06 11:06:34,198 INFO    MainThread:43852 [wandb_setup.py:_flush():79] Configure stats pid to 43852
2024-12-06 11:06:34,198 INFO    MainThread:43852 [wandb_setup.py:_flush():79] Loading settings from C:\Users\ledou\.config\wandb\settings
2024-12-06 11:06:34,198 INFO    MainThread:43852 [wandb_setup.py:_flush():79] Loading settings from c:\Users\ledou\Documents\Scolaire\Hust\Deep Learning\projet\DL-HUST\wandb\settings
2024-12-06 11:06:34,198 INFO    MainThread:43852 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2024-12-06 11:06:34,198 INFO    MainThread:43852 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2024-12-06 11:06:34,198 INFO    MainThread:43852 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2024-12-06 11:06:34,198 INFO    MainThread:43852 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-12-06 11:06:34,198 INFO    MainThread:43852 [wandb_init.py:_log_setup():533] Logging user logs to c:\Users\ledou\Documents\Scolaire\Hust\Deep Learning\projet\DL-HUST\wandb\run-20241206_110634-n8m646x1\logs\debug.log
2024-12-06 11:06:34,198 INFO    MainThread:43852 [wandb_init.py:_log_setup():534] Logging internal logs to c:\Users\ledou\Documents\Scolaire\Hust\Deep Learning\projet\DL-HUST\wandb\run-20241206_110634-n8m646x1\logs\debug-internal.log
2024-12-06 11:06:34,198 INFO    MainThread:43852 [wandb_init.py:_jupyter_setup():479] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x0000020D0CEAAB40>
2024-12-06 11:06:34,198 INFO    MainThread:43852 [wandb_init.py:init():619] calling init triggers
2024-12-06 11:06:34,198 INFO    MainThread:43852 [wandb_init.py:init():626] wandb.init called with sweep_config: {}
config: {}
2024-12-06 11:06:34,198 INFO    MainThread:43852 [wandb_init.py:init():669] starting backend
2024-12-06 11:06:34,198 INFO    MainThread:43852 [wandb_init.py:init():673] sending inform_init request
2024-12-06 11:06:34,203 INFO    MainThread:43852 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn, using: spawn
2024-12-06 11:06:34,204 INFO    MainThread:43852 [wandb_init.py:init():686] backend started and connected
2024-12-06 11:06:34,211 INFO    MainThread:43852 [wandb_run.py:_label_probe_notebook():1339] probe notebook
2024-12-06 11:06:34,224 INFO    MainThread:43852 [wandb_init.py:init():781] updated telemetry
2024-12-06 11:06:34,410 INFO    MainThread:43852 [wandb_init.py:init():814] communicating run to backend with 90.0 second timeout
2024-12-06 11:06:36,852 INFO    MainThread:43852 [wandb_init.py:init():867] starting run threads in backend
2024-12-06 11:06:37,110 INFO    MainThread:43852 [wandb_run.py:_console_start():2456] atexit reg
2024-12-06 11:06:37,110 INFO    MainThread:43852 [wandb_run.py:_redirect():2305] redirect: wrap_raw
2024-12-06 11:06:37,110 INFO    MainThread:43852 [wandb_run.py:_redirect():2370] Wrapping output streams.
2024-12-06 11:06:37,110 INFO    MainThread:43852 [wandb_run.py:_redirect():2395] Redirects installed.
2024-12-06 11:06:37,112 INFO    MainThread:43852 [wandb_init.py:init():911] run started, returning control to user process
2024-12-06 11:06:37,113 INFO    MainThread:43852 [wandb_config.py:__setitem__():154] config set epochs = 5 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x0000020CB54C9FD0>>
2024-12-06 11:06:37,113 INFO    MainThread:43852 [wandb_run.py:_config_callback():1387] config_cb epochs 5 None
2024-12-06 11:06:37,114 INFO    MainThread:43852 [wandb_config.py:__setitem__():154] config set batch_size = 64 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x0000020CB54C9FD0>>
2024-12-06 11:06:37,114 INFO    MainThread:43852 [wandb_run.py:_config_callback():1387] config_cb batch_size 64 None
2024-12-06 11:06:37,114 INFO    MainThread:43852 [wandb_config.py:__setitem__():154] config set learning_rate = 0.005 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x0000020CB54C9FD0>>
